Pálya	link	szöveg	háttérszín
Wordle	https://wordleunlimited.org/	A bajnokságot kezdjük az eredeti Wordle játékkal! Egy 5 betűs angol szót kell kitalálni, a játék minden tipp után elmondja az összes betűről, hogy melyikek vannak benne a szóban és ezek közül melyek van jó helyen. Sok sikert!	#ffff00
Wordle2	https://wordleplay.com/wordle-2	A feladat itt ugyanaz, mint az előbb, de most egy 6 betűs angol szót kell kitalálnod.	#ffff00
Septle	https://septle.com/	Most pedig egy 7 betűset.	#ffff00
Wordemy	https://gamesrow.com/wordemy	Na jó, ahelyett, hogy a betűszámot növelnénk, kezdjünk el lefelé haladni! Itt egy 4 betűs szót kell kitalálnod.	#ffff00
Thirdle	https://web-dev-dan.github.io/Thirdle/	Itt pedig egy 3 betűset, de csak 3 tipped van. A narancssárga szín jelzi, hogy egy betű szerepel a megoldásban, csak rossz helyen, a kék pedig azt, ha jó helyen is van.	#ffff00
Letterle	https://wordgames.gg/letterle	Itt pedig egy 1 betűs szót… De korlátlan tippből!	#ffff00
Shuntle	https://shuntle.com/?unlimited	Kicsit változtassunk a formulán! Ebben a verzióban nem tudod hány betűből áll a megfejtés. A megfejtésben a szó előtt és után is lehetnek szóközök, ezek szintén tippelhető karakterek, melyekről az oldal elárulja ugyanúgy, hogy szerepelnek-e a megfejtésben és ha igen, akkor hol.	#ffff00
Szó reggelt!	https://jealousmarkup.xyz/szofejto/	Vagy inkább szó estét? Lényegében Wordle, csak magyarul. A piros szín azt jelzi, ha egy betű szerepel a szóban csak máshol.	#ffff00
Szózat	https://szozat.miklosdanka.com/	Olyan, mint a Szó reggelt!, de itt a több karakterből álló betűk csak egy helyet foglalnak csak el.	#ffff00
Murdle	https://wordleunlimited.io/murdle	Gratulálok! Eljutottál a 10. pályához!   Ebben a verzióban nem a tippjeid száma van korlátozva, hanem az, hogy hány betűt tippelhetsz, ami nem szerepel a megfejtésben. Ha betippelsz 10 ilyet, akkor fel leszel akasztva! Halott betűt lehet újra tippelni életvesztés nélkül!	#ffff00
Hardle	https://hardle.org/	Ez olyan, mint a Wordle (gondoltad volna?), csak nehezebb! Itt a játék csak azt írja ki, hogy hány jól tippelt betű van, azt nem, hogy melyikek.	#ffff00
